source_id,title,url,status,quality_score,assignee_role,task_type,priority,suggested_action
WEB8-018,CDC Animal Care Regulations and Standards,https://www.cdc.gov/labs/animal-care/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-018 (CDC Animal Care Regulations and Standards) with official mirror or upload original file to manual_sources.
WEB8-019,Purdue Laboratory Researchers Guide,https://www.purdue.edu/ehps/rem/laboratory/researchers.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-019 (Purdue Laboratory Researchers Guide) with official mirror or upload original file to manual_sources.
WEB8-020,Purdue Chemical Hygiene Plan,https://www.purdue.edu/ehps/rem/laboratory/hazmat/chp.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-020 (Purdue Chemical Hygiene Plan) with official mirror or upload original file to manual_sources.
WEB8-021,Purdue Hazard Communication,https://www.purdue.edu/ehps/rem/laboratory/hazmat/hazcom.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-021 (Purdue Hazard Communication) with official mirror or upload original file to manual_sources.
WEB8-022,Purdue Laboratory SOPs,https://www.purdue.edu/ehps/rem/laboratory/hazmat/sops.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-022 (Purdue Laboratory SOPs) with official mirror or upload original file to manual_sources.
WEB8-023,Purdue Biological Materials Safety,https://www.purdue.edu/ehps/rem/laboratory/hazmat/biological-materials.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-023 (Purdue Biological Materials Safety) with official mirror or upload original file to manual_sources.
WEB8-024,Purdue Chemical Materials Management,https://www.purdue.edu/ehps/rem/laboratory/hazmat/chemical-materials/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-024 (Purdue Chemical Materials Management) with official mirror or upload original file to manual_sources.
WEB8-025,Purdue Laboratory Spill Response,https://www.purdue.edu/ehps/rem/laboratory/spills/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-025 (Purdue Laboratory Spill Response) with official mirror or upload original file to manual_sources.
WEB8-026,BU Laboratory Safety Program,https://www.bu.edu/research/ethics-compliance/safety/laboratory-safety/,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-026 (BU Laboratory Safety Program) with official mirror or upload original file to manual_sources.
WEB8-027,BU Chemical Hygiene Plan,https://www.bu.edu/research/ethics-compliance/safety/laboratory-safety/chemical-hygiene-plan/,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-027 (BU Chemical Hygiene Plan) with official mirror or upload original file to manual_sources.
WEB8-028,BU Biosafety Manual,https://www.bu.edu/research/ethics-compliance/safety/biological-safety/ibc/resources/biosafety-manual/,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-028 (BU Biosafety Manual) with official mirror or upload original file to manual_sources.
WEB8-029,UCSF Chemical Safety,https://ehs.ucsf.edu/labs-research/chemical-safety,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-029 (UCSF Chemical Safety) with official mirror or upload original file to manual_sources.
WEB8-030,UCSF Fire and Life Safety,https://ehs.ucsf.edu/fire-and-life-safety,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-030 (UCSF Fire and Life Safety) with official mirror or upload original file to manual_sources.
