source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB8-011,CDC Laboratories About,CDC,lab_management,safety_guidance,general,3,general_safety;biosafety,https://www.cdc.gov/labs/about/index.html,cdc;about;laboratories,en,What role and safety mission are described in CDC laboratory overview
WEB8-012,CDC Laboratory Services,CDC,lab_management,safety_guidance,general,3,general_safety;quality,https://www.cdc.gov/labs/cdc-laboratory-services/index.html,cdc;laboratory services;quality,en,What quality and operational services does CDC provide for laboratories
WEB8-013,CDC Laboratories Programs,CDC,training,safety_guidance,general,3,general_safety;biosafety,https://www.cdc.gov/labs/topics-programs/index.html,cdc;programs;public health,en,What laboratory safety and readiness programs are prioritized by CDC
WEB8-014,CDC Laboratory Partners and Readiness,CDC,lab_management,safety_guidance,general,3,general_safety;biosafety,https://www.cdc.gov/labs/partners/index.html,cdc;partners;readiness,en,How does CDC collaborate with partner laboratories for preparedness and response
WEB8-015,CDC Laboratory Quality,CDC,standard,safety_guidance,general,4,general_safety;quality,https://www.cdc.gov/labs/lab-quality/index.html,cdc;quality;standards,en,What quality management elements are required to improve laboratory reliability
WEB8-016,CDC CLIA Certificates,CDC,standard,regulation,general,3,general_safety;quality,https://www.cdc.gov/labs/clia-certificates/index.html,cdc;clia;certificates,en,How should laboratories manage CLIA certificate scope and compliance
WEB8-017,CDC BMBL 6th Edition,CDC,biosafety,safety_guidance,biosafety,5,biosafety;infection_control,https://www.cdc.gov/labs/bmbl/index.html,cdc;bmbl;biosafety,en,What biosafety levels and controls are defined in BMBL guidance
WEB8-018,CDC Animal Care Regulations and Standards,CDC,biosafety,safety_guidance,biosafety,4,biosafety;animal_research,https://www.cdc.gov/labs/animal-care/index.html,cdc;animal care;standards,en,What rules and controls govern laboratory research involving animals
WEB8-019,Purdue Laboratory Researchers Guide,Purdue REM,lab_management,safety_guidance,general,3,general_safety;chemical,https://www.purdue.edu/ehps/rem/laboratory/researchers.html,purdue;researchers guide;ehs,en,What daily lab safety controls are required in Purdue researcher guidance
WEB8-020,Purdue Chemical Hygiene Plan,Purdue REM,chemical,safety_guidance,chemical,4,chemical;hazardous_chemicals,https://www.purdue.edu/ehps/rem/laboratory/hazmat/chp.html,purdue;chemical hygiene;chp,en,How should laboratories implement chemical hygiene controls and documentation
WEB8-021,Purdue Hazard Communication,Purdue REM,chemical,safety_guidance,chemical,4,chemical;hazard_communication,https://www.purdue.edu/ehps/rem/laboratory/hazmat/hazcom.html,purdue;hazcom;sds,en,How should laboratories comply with hazard communication and SDS requirements
WEB8-022,Purdue Laboratory SOPs,Purdue REM,standard,sop,general,3,general_safety;process_control,https://www.purdue.edu/ehps/rem/laboratory/hazmat/sops.html,purdue;sop;laboratory,en,How can laboratories structure SOPs to control routine and high-risk operations
WEB8-023,Purdue Biological Materials Safety,Purdue REM,biosafety,safety_guidance,biosafety,4,biosafety;biohazard,https://www.purdue.edu/ehps/rem/laboratory/hazmat/biological-materials.html,purdue;biological materials;biosafety,en,What controls are required for biological materials handling and storage
WEB8-024,Purdue Chemical Materials Management,Purdue REM,chemical,safety_guidance,chemical,4,chemical;storage,https://www.purdue.edu/ehps/rem/laboratory/hazmat/chemical-materials/index.html,purdue;chemical materials;management,en,How should laboratories manage chemical procurement storage and inventory safely
WEB8-025,Purdue Laboratory Spill Response,Purdue REM,emergency,emergency_response,general,5,chemical;emergency,https://www.purdue.edu/ehps/rem/laboratory/spills/index.html,purdue;spill response;emergency,en,What immediate actions are required when a laboratory spill occurs
WEB8-026,BU Laboratory Safety Program,Boston University Research Safety,lab_management,safety_guidance,general,3,general_safety;chemical,https://www.bu.edu/research/ethics-compliance/safety/laboratory-safety/,bu;laboratory safety;program,en,What baseline laboratory safety governance controls are required at BU
WEB8-027,BU Chemical Hygiene Plan,Boston University Research Safety,chemical,safety_guidance,chemical,4,chemical;hazardous_chemicals,https://www.bu.edu/research/ethics-compliance/safety/laboratory-safety/chemical-hygiene-plan/,bu;chemical hygiene;chp,en,How should BU style chemical hygiene procedures be implemented in a university lab
WEB8-028,BU Biosafety Manual,Boston University Research Safety,biosafety,safety_guidance,biosafety,4,biosafety;biohazard,https://www.bu.edu/research/ethics-compliance/safety/biological-safety/ibc/resources/biosafety-manual/,bu;biosafety manual;ibc,en,What biosafety procedures are required by BU biosafety manual for research labs
WEB8-029,UCSF Chemical Safety,UCSF EH&S,chemical,safety_guidance,chemical,4,chemical;hazardous_chemicals,https://ehs.ucsf.edu/labs-research/chemical-safety,ucsf;chemical safety;ehs,en,What chemical safety controls are required by UCSF EH&S in laboratory contexts
WEB8-030,UCSF Fire and Life Safety,UCSF EH&S,emergency,safety_guidance,general,4,fire;emergency,https://ehs.ucsf.edu/fire-and-life-safety,ucsf;fire safety;emergency,en,What fire and life safety controls should laboratory teams follow during daily work and emergencies
